column,column_type,null_count,unique_count,null_percent,datetime_stamp,version
company,<class 'numpy.float64'>,9445,63,94.45,2024-01-19,1
agent,<class 'numpy.float64'>,1529,110,15.290000000000001,2024-01-19,1
country,<class 'str'>,771,72,7.71,2024-01-19,1
index,<class 'numpy.float64'>,764,9236,7.64,2024-01-19,1
deposit_type,<class 'str'>,764,3,7.64,2024-01-19,1
booking_changes,<class 'numpy.float64'>,764,12,7.64,2024-01-19,1
assigned_room_type,<class 'str'>,764,10,7.64,2024-01-19,1
reserved_room_type,<class 'str'>,764,9,7.64,2024-01-19,1
previous_bookings_not_canceled,<class 'numpy.float64'>,764,1,7.64,2024-01-19,1
previous_cancellations,<class 'numpy.float64'>,764,1,7.64,2024-01-19,1
is_repeated_guest,<class 'numpy.float64'>,764,1,7.64,2024-01-19,1
hotel,<class 'str'>,764,1,7.64,2024-01-19,1
market_segment,<class 'str'>,764,6,7.64,2024-01-19,1
distribution_channel,<class 'str'>,764,3,7.64,2024-01-19,1
meal,<class 'str'>,764,5,7.64,2024-01-19,1
arrival_date_week_number,<class 'numpy.float64'>,764,53,7.64,2024-01-19,1
is_canceled,<class 'numpy.float64'>,764,2,7.64,2024-01-19,1
lead_time,<class 'numpy.float64'>,764,393,7.64,2024-01-19,1
babies,<class 'numpy.float64'>,764,3,7.64,2024-01-19,1
arrival_date_month,<class 'str'>,764,12,7.64,2024-01-19,1
arrival_date_year,<class 'numpy.float64'>,764,3,7.64,2024-01-19,1
arrival_date_day_of_month,<class 'numpy.float64'>,764,31,7.64,2024-01-19,1
stays_in_weekend_nights,<class 'numpy.float64'>,764,13,7.64,2024-01-19,1
stays_in_week_nights,<class 'numpy.float64'>,764,24,7.64,2024-01-19,1
adults,<class 'numpy.float64'>,764,14,7.64,2024-01-19,1
children,<class 'numpy.float64'>,764,4,7.64,2024-01-19,1
days_in_waiting_list,<class 'numpy.int64'>,0,9,0.0,2024-01-19,1
customer_type,<class 'str'>,0,4,0.0,2024-01-19,1
adr,<class 'numpy.float64'>,0,2161,0.0,2024-01-19,1
required_car_parking_spaces,<class 'numpy.int64'>,0,3,0.0,2024-01-19,1
total_of_special_requests,<class 'numpy.int64'>,0,6,0.0,2024-01-19,1
reservation_status,<class 'str'>,0,3,0.0,2024-01-19,1
reservation_status_date,<class 'str'>,0,651,0.0,2024-01-19,1
